algoritmo|api|hardware|tamanho|iteracao|tempo_total_s|energia_gpu_j|energia_cpu_j|corretude
quicksort|cuda_dp|mx350|100|8|1,235503|0,0|6,3|OK
quicksort|cuda_dp|mx350|100|9|1,35101|0,0|6,74|OK
quicksort|cuda_dp|mx350|100|10|1,246155|0,0|6,21|OK
quicksort|cuda_dp|mx350|10000|1|9,528275|0,0|33,58|OK
quicksort|cuda_dp|mx350|10000|2|11,103359|0,0|38,11|OK
quicksort|cuda_dp|mx350|10000|3|11,111638|0,0|39,01|OK
quicksort|cuda_dp|mx350|10000|4|11,848665|0,0|41,19|OK
quicksort|cuda_dp|mx350|10000|5|12,957903|0,0|51,59|OK
quicksort|cuda_dp|mx350|10000|6|10,478397|0,0|38,19|OK
quicksort|cuda_dp|mx350|10000|7|11,922625|0,0|43,92|OK
quicksort|cuda_dp|mx350|10000|8|13,057491|0,0|46,97|OK
quicksort|cuda_dp|mx350|10000|9|13,145587|0,0|46,04|OK
quicksort|cuda_dp|mx350|10000|10|11,788587|0,0|42,32|OK
quicksort|cuda_dp|mx350|100000|1|168,92801|0,0|565,41|OK
quicksort|cuda_dp|mx350|100000|2|135,536573|0,0|449,02|OK
quicksort|cuda_dp|mx350|100000|3|158,163874|0,0|543,8|OK
quicksort|cuda_dp|mx350|100000|4|170,631281|0,0|552,02|OK
quicksort|cuda_dp|mx350|100000|5|141,836782|0,0|462,83|OK
quicksort|cuda_dp|mx350|100000|6|139,73682|0,0|474,88|OK
quicksort|cuda_dp|mx350|100000|7|129,709768|0,0|465,49|OK
quicksort|cuda_dp|mx350|100000|8|172,614175|0,0|710,93|OK
quicksort|cuda_dp|mx350|100000|9|139,945847|0,0|584,75|OK
quicksort|cuda_dp|mx350|100000|10|136,849534|0,0|585,43|OK
quicksort|openmp|mx350|100|1|2,626361|0,0|10,21|OK
quicksort|openmp|mx350|100|2|0,011488|0,0|0,07|OK
quicksort|openmp|mx350|100|3|0,010903|0,0|0,06|OK
quicksort|openmp|mx350|100|4|0,011828|0,0|0,07|OK
quicksort|openmp|mx350|100|5|0,011334|0,0|0,06|OK
quicksort|openmp|mx350|100|6|0,012711|0,0|0,06|OK
quicksort|openmp|mx350|100|7|0,011745|0,0|0,07|OK
quicksort|openmp|mx350|100|8|0,01202|0,0|0,07|OK
