algoritmo|api|hardware|tamanho|iteracao|tempo_total_s|energia_gpu_j|energia_cpu_j|corretude
sssp|openmp|jetson_agx_orin|10000x30000|3|1,192623|7,1637|11,796|OK
sssp|openmp|jetson_agx_orin|10000x30000|4|0,987202|5,9286|10,2778|OK
sssp|openmp|jetson_agx_orin|10000x30000|5|0,878004|5,2723|9,3906|OK
sssp|openmp|jetson_agx_orin|10000x30000|6|1,079803|6,4846|11,0009|OK
sssp|openmp|jetson_agx_orin|10000x30000|7|0,823214|4,944|8,9472|OK
sssp|openmp|jetson_agx_orin|10000x30000|8|1,04739|6,2903|11,0898|OK
sssp|openmp|jetson_agx_orin|10000x30000|9|0,706821|4,2452|7,6424|OK
sssp|openmp|jetson_agx_orin|10000x30000|10|1,004417|6,032|10,5576|OK
sssp|openmp|jetson_agx_orin|1000x4000|1|0,666918|3,7374|4,8054|OK
sssp|openmp|jetson_agx_orin|1000x4000|2|0,342137|1,9173|2,8076|OK
sssp|openmp|jetson_agx_orin|1000x4000|3|0,261125|1,4633|2,2474|OK
sssp|openmp|jetson_agx_orin|1000x4000|4|0,300309|1,6829|2,5846|OK
sssp|openmp|jetson_agx_orin|1000x4000|5|0,281996|1,5803|2,4835|OK
sssp|openmp|jetson_agx_orin|1000x4000|6|0,342312|1,9183|3,0147|OK
sssp|openmp|jetson_agx_orin|1000x4000|7|0,265472|1,4877|2,2848|OK
sssp|openmp|jetson_agx_orin|1000x4000|8|0,45297|2,5384|3,9288|OK
sssp|openmp|jetson_agx_orin|1000x4000|9|0,411617|2,3067|3,5701|OK
sssp|openmp|jetson_agx_orin|1000x4000|10|0,483269|2,7082|4,2077|OK
sssp|openmp|jetson_agx_orin|200000x400000|1|23,609474|141,755|296,7704|OK
sssp|openmp|jetson_agx_orin|200000x400000|2|23,793042|142,8545|293,6231|OK
sssp|openmp|jetson_agx_orin|200000x400000|3|0,811339|4,872|8,1683|OK
sssp|openmp|jetson_agx_orin|200000x400000|4|0,867184|5,0579|7,7371|OK
sssp|openmp|jetson_agx_orin|200000x400000|5|21,833857|131,0915|273,484|OK
sssp|openmp|jetson_agx_orin|200000x400000|6|22,045397|132,3623|274,8225|OK
sssp|openmp|jetson_agx_orin|200000x400000|7|22,261216|133,6619|278,7288|OK
sssp|openmp|jetson_agx_orin|200000x400000|8|22,72546|136,4493|281,8712|OK
sssp|openmp|jetson_agx_orin|200000x400000|9|22,86648|137,3011|283,0351|OK
sssp|openmp|jetson_agx_orin|200000x400000|10|21,699093|130,3013|274,1089|OK
