sep=|
algoritmo|api|cenario|tamanho|iteracao|tempo_s|corretude|threads_blocos
bitonic_sort|openmp|aleatorio|4194304|8|0,091291|1|32x1
bitonic_sort|openmp|aleatorio|4194304|9|0,093999|1|32x1
bitonic_sort|openmp|aleatorio|4194304|10|0,094816|1|32x1
bitonic_sort|openmp|aleatorio|16777216|1|0,434522|1|32x1
bitonic_sort|openmp|aleatorio|16777216|2|0,450836|1|32x1
bitonic_sort|openmp|aleatorio|16777216|3|0,447932|1|32x1
bitonic_sort|openmp|aleatorio|16777216|4|0,452862|1|32x1
bitonic_sort|openmp|aleatorio|16777216|5|0,449790|1|32x1
bitonic_sort|openmp|aleatorio|16777216|6|0,452224|1|32x1
bitonic_sort|openmp|aleatorio|16777216|7|0,452495|1|32x1
bitonic_sort|openmp|aleatorio|16777216|8|0,449781|1|32x1
bitonic_sort|openmp|aleatorio|16777216|9|0,448717|1|32x1
bitonic_sort|openmp|aleatorio|16777216|10|0,449864|1|32x1
bitonic_sort|openmp|aleatorio|67108864|1|3,365094|1|32x1
bitonic_sort|openmp|aleatorio|67108864|2|3,367712|1|32x1
bitonic_sort|openmp|aleatorio|67108864|3|3,367704|1|32x1
bitonic_sort|openmp|aleatorio|67108864|4|3,372004|1|32x1
bitonic_sort|openmp|aleatorio|67108864|5|3,357300|1|32x1
bitonic_sort|openmp|aleatorio|67108864|6|3,357224|1|32x1
bitonic_sort|openmp|aleatorio|67108864|7|3,378025|1|32x1
bitonic_sort|openmp|aleatorio|67108864|8|3,368699|1|32x1
bitonic_sort|openmp|aleatorio|67108864|9|3,364438|1|32x1
bitonic_sort|openmp|aleatorio|67108864|10|3,372934|1|32x1
bitonic_sort|cuda|aleatorio|1024|1|0,003564|1|256x2
bitonic_sort|cuda|aleatorio|1024|2|0,003562|1|256x2
bitonic_sort|cuda|aleatorio|1024|3|0,003566|1|256x2
bitonic_sort|cuda|aleatorio|1024|4|0,003567|1|256x2
bitonic_sort|cuda|aleatorio|1024|5|0,003561|1|256x2
bitonic_sort|cuda|aleatorio|1024|6|0,003556|1|256x2
bitonic_sort|cuda|aleatorio|1024|7|0,003559|1|256x2
bitonic_sort|cuda|aleatorio|1024|8|0,003557|1|256x2
bitonic_sort|cuda|aleatorio|1024|9|0,003561|1|256x2
bitonic_sort|cuda|aleatorio|1024|10|0,003560|1|256x2
bitonic_sort|cuda|aleatorio|4096|1|0,003581|1|256x8
