algoritmo|api|hardware|tamanho|iteracao|tempo_total_s|energia_gpu_j|energia_cpu_j|corretude
quicksort|cuda|rtx4090|10000|1|6,925224|1028,5442|546,44|OK
quicksort|cuda|rtx4090|10000|2|7,877656|1126,9479|625,4|OK
quicksort|cuda|rtx4090|10000|3|7,454256|1073,2731|614,94|OK
quicksort|cuda|rtx4090|10000|4|5,657638|809,0894|462,23|OK
quicksort|cuda|rtx4090|10000|5|5,018622|718,2819|408,85|OK
quicksort|cuda|rtx4090|10000|6|6,193031|881,3125|508,62|OK
quicksort|cuda|rtx4090|10000|7|6,084273|865,5487|505,83|OK
quicksort|cuda|rtx4090|10000|8|7,315896|1142,9807|550,32|OK
quicksort|cuda|rtx4090|10000|9|8,335429|1493,9219|629,29|OK
quicksort|cuda|rtx4090|10000|10|6,628104|1185,7583|507,19|OK
quicksort|cuda|rtx4090|100000|1|106,182057|17849,5412|7859,13|OK
quicksort|cuda|rtx4090|100000|2|64,575134|10842,9995|4830,11|OK
quicksort|cuda|rtx4090|100000|3|86,809578|14753,5971|6520,03|OK
quicksort|cuda|rtx4090|100000|4|69,569012|11367,4672|5335,92|OK
quicksort|cuda|rtx4090|100000|5|57,847095|8819,8468|4459,67|OK
quicksort|cuda|rtx4090|100000|6|74,296182|12911,9038|5619,96|OK
quicksort|cuda|rtx4090|100000|7|88,28794|14889,9396|6595,37|OK
quicksort|cuda|rtx4090|100000|8|62,077079|10285,4921|4555,56|OK
quicksort|cuda|rtx4090|100000|9|80,756654|13469,6416|5915,22|OK
quicksort|cuda|rtx4090|100000|10|58,883391|8257,9565|4676,39|OK
quicksort|openmp|rtx4090|100|1|0,169353|6,5997|1,9|OK
quicksort|openmp|rtx4090|100|2|0,033028|1,2914|3,61|OK
quicksort|openmp|rtx4090|100|3|0,088215|3,4704|1,48|OK
quicksort|openmp|rtx4090|100|4|0,166632|6,5453|1,85|OK
quicksort|openmp|rtx4090|100|5|0,035343|1,3893|4,07|OK
quicksort|openmp|rtx4090|100|6|0,169784|6,6572|1,95|OK
quicksort|openmp|rtx4090|100|7|0,089997|3,5252|1,52|OK
quicksort|openmp|rtx4090|100|8|0,169488|6,6355|1,93|OK
quicksort|openmp|rtx4090|100|9|0,172487|6,7563|1,91|OK
quicksort|openmp|rtx4090|100|10|0,049772|1,9536|3,87|OK
quicksort|openmp|rtx4090|10000|1|0,932416|36,616|11,98|OK
quicksort|openmp|rtx4090|10000|2|0,937887|36,7933|9,71|OK
quicksort|openmp|rtx4090|10000|3|0,914197|35,9097|9,4|OK
quicksort|openmp|rtx4090|10000|4|0,818469|32,1904|10,08|OK
quicksort|openmp|rtx4090|10000|5|0,944042|37,1669|9,86|OK
quicksort|openmp|rtx4090|10000|6|0,799561|31,4387|11,93|OK
quicksort|openmp|rtx4090|10000|7|1,062768|41,7668|10,79|OK
quicksort|openmp|rtx4090|10000|8|0,818662|32,2143|13,45|OK
quicksort|openmp|rtx4090|10000|9|0,990554|38,9535|10,26|OK
quicksort|openmp|rtx4090|10000|10|1,058347|41,5877|10,55|OK
quicksort|openmp|rtx4090|100000|1|2,432272|95,3126|87,25|OK
quicksort|openmp|rtx4090|100000|2|1,504265|57,8239|116,66|OK
quicksort|openmp|rtx4090|100000|3|1,814513|69,7408|121,8|OK
